readability,difficult_words
12.600178947368422,"['ô_kìa', 'ùi', 'ô_kìa', 'ô_kìa', 'bà_con', 'cô_bác', 'tui', 'kẻo', 'nà', 'eo', 'thơ_thẩn', 'dở_hơi', 'e', 'chả', 'khiếu', 'thơ_ca', 'sất', 'mng', 'e', 'vui_tai', 'động_lòng', 'download', 'vang', 'nhá', 'hihi']"
9.069403703703703,"['trốn_kaka', 'è', 'bthg', 'nhây', 'sập', 'nay', 'như_ai']"
7.901976012084592,"['taxi', 'thanh_nga', 'taxi', 'ko', 'ẩu', 'vừa_qua', 'tốt_tính', 'tuyên_dương', 'viét', 'tường_trình', 'up', 'fb', 'mng', 'sđt', 'share', '8h', 'taxi', 'thanh_nga', 'lê_duẩn', 'csgt', 'gặp_mặt', 'hưu_trí', 'taxi', 'sơ_ý', 'đánh_rơi', 'taxi', '30a', '13h', 'trao_trả', 'nhã_ý', 'cảm_ơn', 'tố_chất', 'hết_lòng', 'cảm_ơn', 'taxi', 'thanh_nga', 'cảm_ơn', 'cháu_cường', 'nhân_dịp', 'taxi', 'thanh_nga', 'làm_ăn', 'phát_đạt', 'mạnh_khoẻ', 'vạn_sự_như_ý', 'cựu_thiếu_tá_cục', 'csgt', 'vũ_thị_tần', 'nguyên_văn', 'viết_tay', 'cảm_ơn', 'cảm_kích', 'tốt_lành', 'rối_ren', 'hehe']"
6.40385,"['váy_đầm', 'r', 'tá', 'mỹ_phẩm']"
9.177253846153846,"['bận_rộn', 'show', 'điên_đảo', 'ko', 'mc', 'bò_sữa', 'town']"
7.710212820512821,"['mì', 'cháo', 'ăn_liền', 'đinh_hoài_thu', 'vifon', '26 ']"
9.169546808510638,"['petals_boutique', 'store', 'váy', 'hàng_xách', 'hịn', 'khai_trương', 'shopping', '28 ', 'a', 'tôn_thất_tùng', 'q', 'tp', 'hcm']"
11.910288235294118,"['hâm', 'dạo', 'nhậu', 'nt', 'sinh_sự', 'chứ_lại', 'hư', 'nguyễn_thuỳ_dương']"
19.5753,"['lệ_quyên_lệ_quyên', 'lệ_quyên_minh_cường', 'minh_cường_minh_cường']"
11.061807317073171,"['hn', 'hai_bà_trưng', 'spa', 'tay_nghề', 'mụn', 'khéo', 'ko', 'spa', 'ko', 'bây', 'h', 'con_nhỏ', 'ko', 'lượn']"
10.541838461538461,"['kaka', 'khíp', 'ê_a', 'tít_mắt', 'hihi', 'tháng_ngày', 'đồng_hành', 'dài_lâu', 'nguyen_minh_cuong_ps', 'ba_mẹ', 'nghỉ_dưỡng', 'nôn_nao', 'mà_lại', 'suy_diễn', 'hề_hề']"
7.230174074074075,"['a', 'chào_đón', 'thiên_thần', 'kaká', 'bé_nhỏ', 'chào_đời', 'cảm_ơn', 'mãi_mãi', 'e', 'a']"
9.967017647058825,"['ko', 'trc', 'xúng_xính', 'váy', 'bó', 'gót', 'ún', 'rịu', 'nay', 'roài']"
8.510821126760563,"['chúc_mừng', 'nguyen_minh_cuong', 'v', 'đc', 'gato', 'rượu_vang', 'nhấp', 'bò_sữa', 'hqua', 'hâm_hấp', 'quẳng', 'đt', 'nay', 'up']"
8.734163157894738,"['tất_niên', 'thanh_xuân', 'giá_rét', 'tổng_kết', 'haha']"
7.796911962616822,"['vs', 'nay', 'thắc_mắc', 'thúi', 'ị', 'nghiện', 'hít_hà', 'mê', 'ôm_ấp', 'tu', 'ngày_đêm', 'quái', 'giề', 'cữ', 'thâu', '2vc', 'quý_giá', 'con_trẻ', 'ba_mẹ', 'vụng_về', 'nguyen_minh_cuong']"
9.751936559139786,"['e', 'fb', 'elevit', 'xách', 'e', 'hn', 'tag', 'e', 'thổ_địa', 'bh', 'ngơ']"
5.152441666666666,"['noel', 'rét']"
13.6065,"['noel', 'vi_vu', 'book', 'đc', 'ưng', 'nguyen_minh_cuong']"
7.665724242424242,"['diệu', 'từ_khoá', 'dài_lâu', 'hà_lan', 'lực_sĩ']"
7.59425,"['mê', 'kinh_khủng', 'khiếp', 'đến_nỗi', 'nickname']"
9.654218518518519,"['kaka', 'nước_nhà', 'nay', 'ơiii', 'nguyễn_minh_cường', 'bùi_anh_tuấn', 'hoàng_tôn', 'only_c', 'ali_hoàng_dương', 'gin_tuấn_kiệt', 'bùi_công_nam', 'bảo_kun', 'pm', 'band', 'link', 'audio']"
7.591788888888889,"['cty', 'ko']"
7.229967669172932,"['ôi', 'thiên_địa', 'tẩy_chay', 'nylon', 'đâyyyyy', 'vãi', 'chưởng', 'wtf']"
6.533631034482758,"['nay', 'kaka', 'chuyện_trò', 'ở_cữ', 'hehe', 'thoả', 'mong_ước', 'trường_tồn']"
8.133381385281385,"['i', 'love', 'u', 'kaka', 'sg', 'lưu_luyến', 'bịn_rịn', 'buồn_cười', 'dặn', 'con_mẹ', 'giữ_gìn', 'sống_mũi', 'kiềm', 'thối', 'xúc_động', 'vali', 'cảm_ơn', 'kaka', 'yêu_dấu', 'hình_hài', 'cá_tính', 'kaka', 'sẻ', 'biết_bao_nhiêu', 'buồn_bã', 'bình_yên', 'bình_dị', 'năm_tháng', 'kaka', 'sg', 'sg', 'ôm_ấp', 'thất_thường', 'thẳm', 'sg', 'vừa_mới', 'body', 'khoai', 'kaka', 'trọn_vẹn', 'can_đảm', 'mẹ_con', 'kaka', 'hihi', 'sg']"
7.525041666666667,"['làm_đẹp', 'thể_dục', 'thẩm_mỹ', 'inbox', 'nay', 'chuyên_khoa', 'đinh_hoài_thu', 'bỉm', '_', 'khoẻ', 'inbox', 'comment', 'nhen']"
8.84232857142857,"['bỉm', 'tự_nhủ', 'comeback', 'nhá']"
6.368839393939394,"['buồn_ngủ', 'sg', 'ko', 'quân_phục']"
14.311966666666665,"['kaka_đinh_hoài_thu', 'ơiiiiiiii']"
14.729238461538461,"['ban_công', 'nay', 'chào_mừng', 'kaka', 'nguyen_minh_cuong', 'đinh_hoài_thu', 'chào_đời', 'nà', 'nag']"
6.239414285714286,"['mong_manh', 'mong_manh']"
0.0,[]
0.0992,[]
7.925146153846153,"['mượt', 'cảm_ơn', 'nguyen_minh_cuong']"
8.353337300613497,"['20 ', 'tưng_bừng', 'ft', 'bó', 'r', 'cgai', 'hnao', 'bù', 'nhá', 'hehe', 'bà_mụ', 'nắn_nót', 'hn', 'đảm_đang', 'xinh_xắn', 'chê', 'hẳn_hoi', 'bõ', 'y_như_rằng', 'hời', 'ko', 'chồng_con', 'happy_birthday', 'tươi_trẻ', 'thu_hà_phạm', 'nhaaaa', 'khoẻ', 'bố_con', 'kaka', 'ps', 'quynh_phuc_tran', 'long_lanh']"
9.542469811320755,"['thực_tình', 'khoái', 'hậu_trường', 'shark_tank', 'sharks', 'hđ', 'lề', 'chăm_chăm', 'sharks', 'giao_lưu', 'ngoác']"
10.287281132075472,"['chúc_mừng', 'tưng', 'nhaaaa', 'up', 'chúng_mình', 'valentine', 'fai', 'ko', 'e', 'bé_nhỏ', 'đc', 'vừng', 'cứng_cáp', 'bảo_kê', 'kaka', 'mẹ_con', 'bảo_kê', 'yêu_thương', 'mẹ_con', 'vừng', 'ps', 'nguyễn_thuỳ_dương', 'up', 'chảnh', 'hnay', 't', 'bù']"
7.925146153846153,"['mic', 'share', 'tí', 'kỉ_niệm', 'off', 'r']"
6.87548035495716,"['cảm_ơn', 'cảm_ơn', 'thân_thể', 'khoẻ_mạnh', 'cảm_ơn', 'dạy_dỗ', 'cảm_ơn', 'che_chở', 'cảm_ơn', 'giá_mà', 'mẹt', 'chip_thảo_huỳnh', 'chả', 'chả', 'tủ_sách', 'nhi_đồng', 'tiền_phong', 'h2t', 'ơ', 'thính_giả', 'tới_tấp', '20 ', 'thiệt', 'tủi_thân', 'chớ', 'lật_đật', 'lật_đật', 'cảm_ơn', 'chúc_tụng', 'nhưng_mà', 'chả_là', 'cảm_ơn', 'tre_trẻ', 'linxi', 'bồng_bột', 'đc', 'mc', 'đinh_hoài_thu', 'bồng_bột', 'bố_mẹ', 'trước_tiên', 'phụ_huynh', 'sai_trái', 'cảm_ơn', 'bước_đi', 'tô_hồng', 'uyến_đỗ_huong_do', 'xuan_tuyet_do_kim', 'thanh_do_chi_dung', 'tran_happy', '20 ']"
7.5986090909090915,"['bí_quyết', 'chăm_bẵm', 'nịnh', 'nay']"
7.266170588235294,"['thèm', 'moo', 'beefsteak']"
9.768919047619047,"['ko', 'ngậm', 'đc', 'mồm', 'đc', 'buồn_cười', 'suôn_sẻ', 'rinh', 'đc', 'quýt', 'hahaha', 'khéo_léo']"
